id;nombre;direccion;logo;latitud;longitud;estado
1;Mesa Agente;asíncrona Cine;Apartamento strategize synthesize;61454;52887;false
2;reinvent Heredado;Asistente estrategia;copy global;53356;13680;true
3;seize;Denar Ladrillo;Plástico Ergonómico card;60917;60732;false
4;éxito;Artesanal;Algodón León;20121;65135;false
5;Re-implementado Cambridgeshire;vertical intuitive Gabón;Account matrix Rupiah;71222;14679;true
6;Gorro;seamless Sección Carretera;Intercambiable multiestado Administrador;79101;71173;false
7;state;International HTTP digital;Cliente;79302;38824;false
8;array Reactivo;Investment copy Adaptativo;Rincón Ensalada;59628;6357;false
9;Música optical Cliente;Account Chalet Account;Negro;93150;89101;false
10;Estonia solid Técnico;Pequeño Hormigon Factores;Bahamas;91650;82560;false
