id;manzana;bloque;numero;ubicacion;tipo;diponibilidad;observacion;estado;condominium_id
1;compress Andalu;complejidad 108;withdrawal;Arroyo Estonia system;Investment TCP;Partida GB quantifyi;navigating Birr;DESACTIVO;1
2;synthesize;expedite;seize Gran;CSS e-services Operativo;redefine portals gro;Guinea productize;Atún Rústico AI;DESACTIVO;2
3;Ergonómico Rato;deposit Morado ;copy;Islas;USB;Decoración;open-source;ACTIVO;3
4;reinvent;International;Cambridges;Salud Violeta;networks withdrawal ;card;base Sopa Guapa;DESACTIVO;4
5;Datos Diseñador;Ensalada Malaga;mission-cr;programming;Artesanal cross-plat;Coordinador Compatib;deposit front-end;ACTIVO;5
6;Acero;de;Azul Centr;Asturias Checking;Granito;markets Plástico;XSS feed;DESACTIVO;6
7;Avon Supervisor;Región Coche Ac;Coche Peso;Directo Serbia world-class;transmitting THX;USB user-centric;solutions;ACTIVO;7
8;Rojo;jerarquía País ;Sopa Islan;24/7;quantify Checking au;Emiratos;Optimización Operaciones;DESACTIVO;8
9;SDD;HTTP Supervisor;Gris Borde;Congo Bacon;Azul Account parse;Cantabria Muelle par;Funcionario;ACTIVO;9
10;eyeballs;Finlandia Aragó;Especialis;withdrawal digital;multitarea;bandwidth;arquitectura Granito Aragón;DESACTIVO;10
