id;anio;mes;valor;estado;fecha_generacion;fecha_pago;cuota_id
1;Fran;schemas Franc Fácil;30213;DESACTIVO;2022-07-29;2022-07-29;1
2;paym;Cambridgeshire Guapa invoice;19655;ACTIVO;2022-07-29;2022-07-29;2
3;Oper;Hormigon Sabroso;78428;ACTIVO;2022-07-29;2022-07-29;3
4;SMTP;generating;74709;DESACTIVO;2022-07-29;2022-07-29;4
5;calc;extranet Fantástico USB;58452;DESACTIVO;2022-07-29;2022-07-29;5
6;Gran;monitor SQL Account;32860;ACTIVO;2022-07-29;2022-07-29;6
7;Birr;Asistente engage Gorro;7649;ACTIVO;2022-07-29;2022-07-29;7
8;XML;Genérico;52358;ACTIVO;2022-07-29;2022-07-29;8
9;netw;withdrawal Arrabal Director;19126;ACTIVO;2022-07-29;2022-07-29;9
10;depo;Malaysian Caserio Algodón;12146;ACTIVO;2022-07-29;2022-07-29;10
